Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/08/2025,09/09/2025,UPWORK * -844518530,Professional Services,Sale,-413.40,
09/08/2025,09/09/2025,GOOGLE *CLOUD KR8BQQ,Office & Shipping,Sale,-2000.00,
09/08/2025,09/09/2025,GITHUB  INC.,Professional Services,Sale,-56.91,
09/08/2025,09/08/2025,Payment Thank You-Mobile,,Payment,4000.00,
09/06/2025,09/07/2025,UBER* TRIP,Travel,Sale,-13.04,
09/06/2025,09/07/2025,APP*DEVOLTAASRAIZ,Food & Drink,Sale,-28.56,
09/06/2025,09/07/2025,CALENDLY,Office & Shipping,Sale,-44.40,
09/05/2025,09/07/2025,Twitter Online Ads,Professional Services,Sale,-150.91,
09/06/2025,09/07/2025,Twitter Online Ads,Professional Services,Sale,-67.30,
09/05/2025,09/07/2025,Twitter Online Ads,Professional Services,Sale,-105.93,
09/03/2025,09/05/2025,SOCIALPLUG.IO,Merchandise & Inventory,Sale,-20.00,
09/04/2025,09/05/2025,USERGUIDING.COM,Office & Shipping,Sale,-99.00,
09/04/2025,09/05/2025,Twitter Online Ads,Professional Services,Sale,-201.80,
09/04/2025,09/05/2025,A. WASHINGTON TRAVEL &amp; PA,Office & Shipping,Sale,-122.13,
09/04/2025,09/05/2025,IFD*DAKI CD BARUERI LT,Food & Drink,Sale,-11.59,
09/04/2025,09/05/2025,SUBADQ *NUMERO UM SPOR,Health & Wellness,Sale,-139.51,
09/04/2025,09/04/2025,Payment Thank You-Mobile,,Payment,500.00,
09/04/2025,09/04/2025,UPWORK * -842853154,Professional Services,Sale,-945.37,
09/03/2025,09/04/2025,Twitter Online Ads,Professional Services,Sale,-120.02,
09/03/2025,09/04/2025,Twitter Online Ads,Professional Services,Sale,-11.40,
09/04/2025,09/04/2025,PADDLE.NET* N8N CLOUD1,Merchandise & Inventory,Sale,-27.61,
09/03/2025,09/04/2025,DNH*GODADDY#3878262856,Bills & Utilities,Sale,-78.44,
09/03/2025,09/03/2025,Payment Thank You-Mobile,,Payment,1500.00,
09/03/2025,09/03/2025,Payment Thank You-Mobile,,Payment,500.00,
09/03/2025,09/03/2025,Payment Thank You-Mobile,,Payment,400.00,
