Transaction Date,Post Date,Description,Category,Type,Amount,Memo,classified_entity,confidence,classification_reason,needs_review,source_file,date_processed,Business_Unit,Justification,From_Entity,To_Entity,Intercompany_Type,Elimination_Required,Elimination_Amount,transaction_id,Currency,Crypto_Amount,USD_Equivalent,Conversion_Note,keywords_action_type,primary_action,keywords_platform,primary_platform,keywords_asset_type,primary_asset,keywords_transaction_nature,primary_transaction,keywords_counterparty,primary_counterparty,Amount_USD
09/08/2025,09/09/2025,UPWORK * -844518530,Professional Services,Sale,-413.4,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976418,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,85986f8484d1,USD,,-413.4,,,,,,,,,,,,413.4
09/08/2025,09/09/2025,GOOGLE *CLOUD KR8BQQ,Office & Shipping,Sale,-2000.0,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976459,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,4c8ef4a3343d,USD,,-2000.0,,,,,,,,,,,,2000.0
09/08/2025,09/09/2025,GITHUB  INC.,Professional Services,Sale,-56.91,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976488,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,75f844fa400f,USD,,-56.91,,,,,,,,,,,,56.91
09/08/2025,09/08/2025,Payment Thank You-Mobile,,Payment,4000.0,,Unclassified Revenue,0.5,Unknown revenue source,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976515,Unclassified Revenue,Unknown revenue source,Unclassified Revenue,External,External,False,0.0,f1d3624f1e30,USD,,4000.0,,PAYMENT,PAYMENT,,,,,,,,,4000.0
09/06/2025,09/07/2025,UBER* TRIP,Travel,Sale,-13.04,,Delta LLC,1.0,Business travel,False,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976538,Delta LLC,Business travel,Delta LLC,External,External,False,0.0,8573a9c1e1db,USD,,-13.04,,,,,,,,,,,,13.04
09/06/2025,09/07/2025,APP*DEVOLTAASRAIZ,Food & Drink,Sale,-28.56,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976564,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,e19d73c5ac84,USD,,-28.56,,,,,,,,,,,,28.56
09/06/2025,09/07/2025,CALENDLY,Office & Shipping,Sale,-44.4,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976586,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,a2976322b5b8,USD,,-44.4,,,,,,,,,,,,44.4
09/05/2025,09/07/2025,Twitter Online Ads,Professional Services,Sale,-150.91,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976607,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,aae70b6f2745,USD,,-150.91,,,,,,,,,,,,150.91
09/06/2025,09/07/2025,Twitter Online Ads,Professional Services,Sale,-67.3,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976626,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,adeb7fed2b9d,USD,,-67.3,,,,,,,,,,,,67.3
09/05/2025,09/07/2025,Twitter Online Ads,Professional Services,Sale,-105.93,,Unclassified Expense,0.5,Unknown expense,True,Chase4774_Activity20250101_20250911_20250911.CSV,2025-09-24T18:12:53.976646,Unclassified Expense,Unknown expense,Unclassified Expense,External,External,False,0.0,ab6a00b85580,USD,,-105.93,,,,,,,,,,,,105.93
